episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
160,1.0,3.2681650887355937,1.4711152302999522,-179.76143678676047,12.5,1.8,13,0.0,False,True,0.5582224276693989,1,25.106790570080385,476.169,prepare,0.0,0
160,2.0,3.2683161026031025,1.4712045835790462,-179.76848290075253,5.0,2.1,8,5.241614262159269,False,True,0.5576172271671649,1,25.106790570080385,476.227,in_progress,0.0,0
160,3.0,3.2618915276137197,1.470716409325124,-179.6087478530913,0.0,2.0,6,5.793931952201012,False,True,0.5832252770502087,1,25.106790570080385,476.299,in_progress,0.0,0
160,4.0,3.237884962118761,1.471156442105456,-179.7335667959887,15.0,1.6,16,2.9995792585271737,False,True,0.678819338004743,1,25.106790570080385,476.365,in_progress,0.0,0
160,5.0,3.1997897531369826,1.4645888404374252,-178.24974832932892,0.0,2.4,3,6.5664637250757725,False,True,0.830819078028636,2,25.106790570080385,476.438,in_progress,0.0,0
160,6.0,3.148022123753526,1.454809628081079,-176.32991443971898,15.0,1.6,16,3.271427694520564,False,True,1.037407563324215,2,25.106790570080385,476.494,in_progress,0.0,0
160,7.0,3.085644070476175,1.4383150064921926,-173.49876325087502,2.5,2.2,7,7.2030309643958335,False,True,1.2865365385690262,2,25.106790570080385,476.563,in_progress,0.0,0
160,8.0,3.01170792235697,1.4181232288551786,-170.93258069013274,12.5,1.6,12,4.197065614629702,False,True,1.581853761533476,3,25.106790570080385,476.638,in_progress,0.0,0
160,9.0,2.9176642024531243,1.3833564429747867,-166.71813948605742,0.0,2.3,4,8.709264725841493,False,True,1.948549905828154,3,25.106790570080385,476.697,in_progress,0.0,0
160,10.0,2.8212156570940325,1.3473276592623695,-163.95641527465216,10.0,1.7,11,4.819527661051297,False,True,2.330204170522044,3,25.106790570080385,476.771,in_progress,0.0,0
160,11.0,2.7176849527634883,1.3088541576525337,-162.19658525345505,-7.5,2.0,0,5.460148262754239,False,True,2.7398967003189947,4,25.106790570080385,476.844,in_progress,0.0,0
160,12.0,2.5898276245081444,1.264661633197857,-161.8436775034025,0.0,2.4,3,6.063313720159625,False,True,3.2701129311765187,4,25.106790570080385,476.895,in_progress,0.0,0
160,13.0,2.491533337992601,1.2420669708705459,-163.81639469157204,12.5,1.8,13,2.9400405879395217,False,True,3.66265895064267,5,25.106790570080385,476.977,in_progress,0.0,0
160,14.0,2.350224174898399,1.2004400151140486,-163.73990625484248,0.0,2.4,3,3.613691620034409,False,True,4.180218616414089,5,25.106790570080385,477.036,in_progress,0.0,0
160,15.0,2.2406066663212503,1.1678627151329755,-163.6387756765253,-7.5,2.0,0,2.1410493842440608,False,True,4.612430503683282,5,25.106790570080385,477.096,in_progress,0.0,0
160,16.0,2.1195519364517503,1.1431165505509535,-165.7996788174161,0.0,2.4,3,1.7999491766901796,False,False,5.091175071171123,6,25.106790570080385,477.149,in_progress,0.0,0
160,17.0,1.983748913195786,1.1218727324202862,-168.37618041118367,0.0,2.0,6,1.3217267241612736,False,False,5.34980205310415,6,25.106790570080385,477.229,in_progress,0.0,0
160,18.0,1.8443724002828297,1.101344522133053,-169.9642247862693,0.0,2.0,6,1.332278416653302,False,False,5.865211063217907,6,25.106790570080385,477.292,in_progress,0.0,0
160,19.0,1.7070499329165003,1.0851203024899734,-171.59102455656821,-7.5,2.0,0,1.3403296891546834,False,False,6.383199158585007,7,25.106790570080385,477.363,in_progress,0.0,0
160,20.0,1.5633430788695128,1.0753098289260097,-173.9228910552764,-7.5,2.0,0,1.3398904947613783,False,False,6.7254671948821105,7,25.106790570080385,477.433,in_progress,0.0,0
160,21.0,1.4302592594907602,1.0740229574701843,-176.51505066457358,-5.0,2.2,1,0.001,True,False,7.225210420668341,8,25.106790570080385,477.498,off_track,0.0,0
161,1.0,2.013001016920426,1.4810807324349329,178.10266984129566,-7.5,2.0,0,0.0,False,True,0.5545902920725453,6,25.106790570080385,477.621,prepare,0.0,0
161,2.0,2.013241936597381,1.4810189340425564,178.1592923633559,5.0,2.1,8,3.1552736768993164,False,True,0.5535998860080243,6,25.106790570080385,477.706,in_progress,0.0,0
161,3.0,2.0041250007233,1.4837535151486145,177.35568018007478,2.5,2.2,7,3.139670536147347,False,True,0.5914372326670713,6,25.106790570080385,477.767,in_progress,0.0,0
161,4.0,1.9808030374416745,1.4850594374602921,177.31526773956057,10.0,1.7,11,2.259036756672029,False,True,0.6830825294971671,6,25.106790570080385,477.837,in_progress,0.0,0
161,5.0,1.9402163749583066,1.4818914702118366,178.46040012991963,2.5,2.2,7,3.4230135200797944,False,True,0.8376495525146965,6,25.106790570080385,477.9,in_progress,0.0,0
161,6.0,1.891979285600304,1.4813604322717793,178.84135041379344,0.0,2.2,5,3.748834875231226,False,True,1.0242771210546529,7,25.106790570080385,477.962,in_progress,0.0,0
161,7.0,1.8316063280333277,1.4809974398162065,179.13821259791388,0.0,2.0,6,3.605795620006914,False,True,1.2581307732162705,7,25.106790570080385,478.024,in_progress,0.0,0
161,8.0,1.7473793757336802,1.4826811354553442,179.0368129235294,0.0,2.3,4,3.8051788348098112,False,True,1.558439190142122,7,25.106790570080385,478.095,in_progress,0.0,0
161,9.0,1.6478231402598649,1.4856541137119377,178.68688710287574,2.5,2.2,7,3.4162083248175517,False,True,1.9373680189952198,7,25.106790570080385,478.158,in_progress,0.0,0
161,10.0,1.546367745877218,1.4857132174806944,179.1089184808053,0.0,2.0,6,3.5389784422082737,False,True,2.3196872226960834,8,25.106790570080385,478.227,in_progress,0.0,0
161,11.0,1.4284594862900433,1.486881391434112,179.2042058473948,-5.0,2.2,1,3.8771286829203757,False,True,2.9431452373436153,8,25.106790570080385,478.302,in_progress,0.0,0
161,12.0,1.2880050026205196,1.4942679451493337,178.00390421196192,-7.5,2.0,0,3.7626513093416385,False,True,3.5033165391490777,9,25.106790570080385,478.37,in_progress,0.0,0
161,13.0,1.1541544756234625,1.5090527390871251,175.8988235770446,2.5,2.2,7,5.602521615734122,False,True,4.289893771842855,9,25.106790570080385,478.433,in_progress,0.0,0
161,14.0,1.0352554062447548,1.523047307235596,174.74312583428582,10.0,1.7,11,3.862716333031249,False,True,4.71381550448964,10,25.106790570080385,478.497,in_progress,0.0,0
161,15.0,0.9051955254890093,1.5273168894757303,176.28704340439432,7.5,2.0,9,4.304144834493733,False,True,5.175393085283968,10,25.106790570080385,478.563,in_progress,0.0,0
161,16.0,0.777197544523155,1.523253382029667,178.78693663417553,-7.5,2.0,0,3.725303293104626,False,True,5.67621488351317,10,25.106790570080385,478.626,in_progress,0.0,0
161,17.0,0.6358887250463217,1.5235603560611934,179.1689527013967,0.0,2.0,6,4.388739338829827,False,True,6.224906409856815,11,25.106790570080385,478.689,in_progress,0.0,0
161,18.0,0.518051272924772,1.5286262637446406,178.45529298415374,-7.5,2.0,0,3.8041096299533854,False,True,6.704567333124651,11,25.106790570080385,478.764,in_progress,0.0,0
161,19.0,0.38291621878639326,1.5402452397081328,176.7963600182364,7.5,2.0,9,4.098980041779129,False,True,7.236803510928764,12,25.106790570080385,478.83,in_progress,0.0,0
