episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
140,1.0,3.2680594520986372,1.4711407818440039,-179.74029412775255,7.5,2.0,9,0.0,False,True,0.5586420819091044,1,25.106790570080385,421.969,prepare,0.0,0
140,2.0,3.2683161026031136,1.4712045835790462,-179.76848290075242,10.0,1.7,11,3.8451970336135446,False,True,0.557617227167165,1,25.106790570080385,422.028,in_progress,0.0,0
140,3.0,3.2607349279726283,1.4729209845591782,179.74256416569997,-2.5,2.3,2,2.483414289435167,False,True,0.5877392765075249,1,25.106790570080385,422.104,in_progress,0.0,0
140,4.0,3.2343797693666354,1.4715222637721146,-179.95804660149676,5.0,2.1,8,5.104288523960379,False,True,0.6927643547237792,1,25.106790570080385,422.159,in_progress,0.0,0
140,5.0,3.2048559890648884,1.4691505638447937,-179.42172241497158,0.0,2.4,3,6.043321925573408,False,True,0.8104501188411651,2,25.106790570080385,422.232,in_progress,0.0,0
140,6.0,3.144193878419962,1.4646279994961577,-178.6086680055645,7.5,2.0,9,4.555650392099251,False,True,1.0522427586206644,2,25.106790570080385,422.298,in_progress,0.0,0
140,7.0,3.0763535324249607,1.4557910510873866,-177.04163965384927,-2.5,2.3,2,6.3285405491854965,False,True,1.3228055816470699,2,25.106790570080385,422.362,in_progress,0.0,0
140,8.0,3.00020859256062,1.4500725323097536,-176.6757409542628,-7.5,2.0,0,4.904485332994496,False,True,1.6263128584287314,3,25.106790570080385,422.431,in_progress,0.0,0
140,9.0,2.900600958411139,1.455414201374228,-179.0929367139816,7.5,2.0,9,4.007969407183088,False,True,2.021389281931548,3,25.106790570080385,422.498,in_progress,0.0,0
140,10.0,2.79836713380175,1.46058731154975,179.38408774526417,0.0,2.4,3,3.5466766264198255,False,True,2.4288769804622494,4,25.106790570080385,422.564,in_progress,0.0,0
140,11.0,2.6738735094649537,1.4594377741445501,179.83380828170576,-7.5,2.0,0,2.66774329576252,False,True,2.9245835348280997,4,25.106790570080385,422.63,in_progress,0.0,0
140,12.0,2.545362085330296,1.4644061715229806,178.7537635104282,-7.5,2.0,0,3.073669797537912,False,True,3.4377570870753225,4,25.106790570080385,422.708,in_progress,0.0,0
140,13.0,2.401590065149728,1.4767993266981188,176.85604125277857,0.0,2.2,5,3.683287960806523,False,True,4.00977240530667,5,25.106790570080385,422.767,in_progress,0.0,0
140,14.0,2.296331669633642,1.4883422180570454,175.65853172314073,7.5,2.0,9,2.545334393255154,False,True,4.431594310995212,5,25.106790570080385,422.828,in_progress,0.0,0
140,15.0,2.1491011616694844,1.4959344610654612,176.3591018697303,-7.5,2.0,0,2.7357208382723712,False,True,5.018680123015995,6,25.106790570080385,422.899,in_progress,0.0,0
140,16.0,2.026689023296245,1.505959650416007,175.80018407665463,12.5,1.6,12,2.0797947201584814,False,True,5.523998897402816,6,25.106790570080385,422.954,in_progress,0.0,0
140,17.0,1.9076831518108424,1.5149932537372597,175.70835512391247,5.0,2.1,8,2.6781990998743064,False,True,5.993784385776241,7,25.106790570080385,423.031,in_progress,0.0,0
140,18.0,1.77130152906513,1.51438058296291,177.88460792021718,10.0,1.7,11,2.5952581429043295,False,True,6.522243871985964,7,25.106790570080385,423.092,in_progress,0.0,0
140,19.0,1.642796382741217,1.4998321599056346,-178.0744312150938,10.0,1.7,11,3.2384527829265726,False,True,6.974625624423353,7,25.106790570080385,423.162,in_progress,0.0,0
140,20.0,1.5153147283296415,1.4746984788707438,-173.79439389941166,10.0,1.7,11,3.8793705068655155,False,True,7.422450766169837,8,25.106790570080385,423.231,in_progress,0.0,0
140,21.0,1.387915403966903,1.4402425138126391,-169.55570553319015,-2.5,2.3,2,1.385363604892296,False,True,8.092635702738216,8,25.106790570080385,423.293,in_progress,0.0,0
140,22.0,1.2691626660335804,1.4060397541250815,-167.1779891832067,-7.5,2.0,0,1.3889148958509268,False,True,8.556127708720387,9,25.106790570080385,423.371,in_progress,0.0,0
140,23.0,1.141805598023967,1.3763241857124022,-167.04569255689347,-7.5,2.0,0,1.413974418145727,False,True,9.521411617351719,9,25.106790570080385,423.433,in_progress,0.0,0
140,24.0,1.0178382919824185,1.350708225309818,-167.65032209271362,-7.5,2.0,0,1.4174826644039793,False,True,10.019583945695501,10,25.106790570080385,423.5,in_progress,0.0,0
140,25.0,0.8770930067213318,1.32462410376051,-168.56505778196893,10.0,1.7,11,1.4185075189282956,False,True,10.46268797320739,10,25.106790570080385,423.571,in_progress,0.0,0
140,26.0,0.7518109411178544,1.3008319361351517,-168.85616546872464,-2.5,2.3,2,1.4219344591109353,False,True,10.970295936884316,11,25.106790570080385,423.633,in_progress,0.0,0
140,27.0,0.6325898496075173,1.2678200891315647,-166.92689084671684,0.0,2.4,3,1.4210584119918757,False,True,11.368577123780645,11,25.106790570080385,423.7,in_progress,0.0,0
140,28.0,0.4864078377851452,1.2140819377204335,-163.1621046884795,-2.5,2.3,2,1.4263675483950369,False,True,11.938291355061036,11,25.106790570080385,423.765,in_progress,0.0,0
140,29.0,0.35755441531736054,1.1609773762486681,-160.53540993945387,17.5,1.6,17,1.429926107987064,False,True,12.467857131624857,12,25.106790570080385,423.841,in_progress,0.0,0
140,30.0,0.2314742618984042,1.1031457646367888,-157.87557347859982,10.0,1.7,11,1.4291899484285029,False,False,12.875698452855087,12,25.106790570080385,423.904,in_progress,0.0,0
